transaction_id,persona_id,date,description,amount,category,is_labelled
1,P01,01/09/2023,Balance brought forward,0.0,Excluded,True
2,P01,01/09/2023,DIRECT DEBIT BUPA AUSTRALIA DDR ID 098647,120.9,Essential,True
3,P01,01/09/2023,VISA PURCHASE HENRY COFFEE FORTITUDE VLY,6.19,Non-Essential,True
4,P01,02/09/2023,VISA PURCHASE SUSHI HUB CBD,9.11,Non-Essential,True
5,P01,02/09/2023,POS CAMPOS SOUTH BRISBANE TID 957282,6.29,Non-Essential,True
6,P01,03/09/2023,CARD PURCHASE 03SEP GOLDEN LOTUS 2452 CBD,33.5,Non-Essential,True
7,P01,03/09/2023,VISA PURCHASE 7-ELEVEN NEW FARM,6.89,Non-Essential,True
8,P01,03/09/2023,CARD PURCHASE 03SEP ST DREUX 9387 SOUTH BRISBANE,6.27,Non-Essential,True
9,P01,04/09/2023,PAYROLL Harbour Media NET PAY,-3145.84,Excluded,True
10,P01,04/09/2023,PAYID TRANSFER TO RENT BRISBANE 36 REF 22551,477.35,Essential,True
11,P01,04/09/2023,POS ROLLD CBD TID 299775,18.31,Non-Essential,True
12,P01,04/09/2023,EFTPOS PURCHASE AMZN Mktp AU SYDNEY TOOWONG TID 811385,142.9,Non-Essential,True
13,P01,05/09/2023,UBER *EATS HELP.UBER.COM NLD REF 49873,37.16,Non-Essential,True
14,P01,05/09/2023,CARD PURCHASE 05SEP RUBY COFFEE 3231 TOOWONG,4.96,Non-Essential,True
15,P01,05/09/2023,POS CAMPOS CBD TID 875249,5.99,Non-Essential,True
16,P01,05/09/2023,VISA PURCHASE GUZMAN Y GOMEZ TOOWONG,17.26,Non-Essential,True
17,P01,05/09/2023,EFTPOS PURCHASE COFFEE HERO FORTITUDE VLY TID 660990,4.93,Non-Essential,True
18,P01,06/09/2023,EFTPOS PURCHASE IGA FORTITUDE VLY TID 247623,21.5,Essential,True
19,P01,06/09/2023,POS DAILY GRIND SOUTH BRISBANE TID 620190,6.38,Non-Essential,True
20,P01,06/09/2023,VISA PURCHASE MECCA NEW FARM,6.32,Non-Essential,True
21,P01,06/09/2023,VISA PURCHASE SINGLE O TOOWONG,5.29,Non-Essential,True
22,P01,06/09/2023,EFTPOS PURCHASE MECCA SOUTH BRISBANE TID 580034,5.86,Non-Essential,True
23,P01,06/09/2023,APPLE.COM/BILL,5.99,Non-Essential,True
24,P01,07/09/2023,DIRECT DEBIT OPTUS BILL,64.48,Essential,True
25,P01,07/09/2023,UBER *EATS HELP.UBER.COM NLD ORD 832844,19.28,Non-Essential,True
26,P01,07/09/2023,CARD PURCHASE 07SEP HENRY COFFEE 4596 INDOOROOPILLY,5.9,Non-Essential,True
27,P01,07/09/2023,CARD PURCHASE 07SEP HENRY COFFEE 6987 SOUTH BRISBANE,4.77,Non-Essential,True
28,P01,07/09/2023,EFTPOS PURCHASE RUBY COFFEE NEW FARM TID 149301,6.29,Non-Essential,True
29,P01,07/09/2023,VISA PURCHASE RUBY COFFEE SOUTH BRISBANE,5.62,Non-Essential,True
30,P01,07/09/2023,VISA PURCHASE 7-ELEVEN NEW FARM,4.81,Non-Essential,True
31,P01,07/09/2023,EFTPOS PURCHASE SUSHI HUB SOUTH BRISBANE TID 467761,16.4,Non-Essential,True
32,P01,07/09/2023,VISA PURCHASE PRICELINE PHARMACY BROADWAY SOUTH BRISBANE,43.24,Essential,True
33,P01,07/09/2023,APPLE.COM/BILL AUS,1.49,Non-Essential,True
34,P01,08/09/2023,NETFLIX.COM AMSTERDAM NLD,16.3,Non-Essential,True
35,P01,08/09/2023,CARD PURCHASE 08SEP DAILY GRIND 8361 TOOWONG,5.35,Non-Essential,True
